object-id,filename,title,creator,publisher/publication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,note
4399,https://catalog.sage.eou.edu/eg/opac/record/4399,By Cheyenne campfires,"Grinnell, George Bird 1849-1938",,,1971,,Cheyenne Indians;Cheyenne Indians Folklore,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/4399,record,url,eng,,,"{9780803257467,0803257465}"
4494,https://catalog.sage.eou.edu/eg/opac/record/4494,Pioneer trails of the Oregon coast,"Dicken, Samuel N. (Samuel Newton) 1901-1989",,,1971,,Oregon -- Oregon;Trails -- Frontier and pioneer life;Trails Oregon Frontier and pioneer life Oregon,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/4494,record,url,eng,,,{0875950302}
4982,https://catalog.sage.eou.edu/eg/opac/record/4982,Explorers and settlers : historic places commemorating the early exploration and settlement of the United States,,,,1968,,Natural monuments -- Historic buildings;Natural monuments United States Historic buildings United States;United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/4982,record,url,eng,,,
5063,https://catalog.sage.eou.edu/eg/opac/record/5063,"The Granger movement : a study of agricultural organization and its political, economic, and social manifestations, 1870-1880","Buck, Solon J. (Solon Justus) 1884-1962",,,1963,,Agriculture -- Agriculture -- Economic aspects -- Railroads and state -- Cooperation;National Grange.;National Grange. Agriculture United States Agriculture Economic aspects United States Railroads and state United States Cooperation United States;United States -- United States -- United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5063,record,url,eng,,,{:}
5139,https://catalog.sage.eou.edu/eg/opac/record/5139,"A Treasury of American folklore : stories, ballads, and traditions of the people","Botkin, Benjamin Albert 1901-1975",,,1944,,Folklore -- Legends -- Social life and customs;Folklore United States Legends United States United States Social life and customs;United States -- United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5139,record,url,eng,,,
5365,https://catalog.sage.eou.edu/eg/opac/record/5365,The Nez Perce Indians and the opening of the Northwest,"Josephy, Alvin M. 1915-2005",,,1965,,"Nez Percé Indians -- History -- History;Nez Percé Indians History Northwest, Pacific History;Northwest, Pacific",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5365,record,url,eng,,,
5430,https://catalog.sage.eou.edu/eg/opac/record/5430,Shaking the pumpkin : traditional poetry of the Indian North Americas,"Rothenberg, Jerome 1931-",,,1972,,Indian poetry -- American poetry;Indian poetry North America Translations into English American poetry;North America,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5430,record,url,eng,,,
5634,https://catalog.sage.eou.edu/eg/opac/record/5634,The American heritage pictorial atlas of United States history,,,,1966,,Historical geography;United States;United States Historical geography Maps,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5634,record,url,eng,,,
5735,https://catalog.sage.eou.edu/eg/opac/record/5735,The new Indians,"Steiner, Stan.",,,1968,,1934-;Indians of North America -- Indians of North America -- Government relations -- Race relations;Indians of North America Indians of North America Government relations 1934- United States Race relations;United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5735,record,url,eng,,,
5741,https://catalog.sage.eou.edu/eg/opac/record/5741,The native Americans : prehistory and ethnology of the North American Indians,"Spencer, Robert F.",,,1965,,Indians of North America -- Antiquities;Indians of North America North America Antiquities;North America,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5741,record,url,eng,,,
5903,https://catalog.sage.eou.edu/eg/opac/record/5903,The fur hunters of the Far West,"Ross, Alexander 1783-1856",,,1956,,"History -- History -- Fur trade -- Indians of North America;Northwest, Pacific -- Oregon Territory -- Northwest, Pacific -- Northwest, Pacific;Northwest, Pacific History Oregon Territory History Fur trade Northwest, Pacific Indians of North America Northwest, Pacific",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/5903,record,url,eng,,,
7256,https://catalog.sage.eou.edu/eg/opac/record/7256,"A sketch of Sam Bass, the bandit : a graphic narrative [of] his various train robberies, his death, and accounts of the deaths of his gang and their history","Martin, Charles L. (Charles Lee) 1839-1925",,,1956,,"Bass, Sam 1851-1878;Brigands and robbers -- Criminals;Brigands and robbers Bass, Sam 1851-1878 Criminals Texas;Texas",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/7256,record,url,eng,,,
7363,https://catalog.sage.eou.edu/eg/opac/record/7363,Collected stories of William Faulkner,"Faulkner, William 1897-1962",,,1950,,Mississippi;Mississippi Social life and customs Fiction;Social life and customs,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/7363,record,url,eng,,,
7882,https://catalog.sage.eou.edu/eg/opac/record/7882,The two worlds of the Washo : an Indian tribe of California and Nevada,"Downs, James F.",,,1966,,Washoe Indians,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/7882,record,url,eng,,,
7900,https://catalog.sage.eou.edu/eg/opac/record/7900,The American heritage history of the Great West,"Lavender, David 1910-2003",,,1965,,History;West (U.S.);West (U.S.) History,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/7900,record,url,eng,,,
8066,https://catalog.sage.eou.edu/eg/opac/record/8066,The log of a cowboy : a narrative of the old trail days,"Adams, Andy 1859-1935",,,1964,,Cowboys -- Cattle drives;Cowboys Fiction Cattle drives Fiction;western fiction,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/8066,record,url,eng,,,
8627,https://catalog.sage.eou.edu/eg/opac/record/8627,Western words : a dictionary of the American West,"Adams, Ramon F. (Ramon Frederick) 1889-1976",,,1968,,English language -- Dialects -- Americanisms -- Cowboys -- Language -- Social life and customs;English language Dialects West (U.S.) Dictionaries Americanisms West (U.S.) Dictionaries Cowboys West (U.S.) Language West (U.S.) Social life and customs Dictionaries;West (U.S.) -- West (U.S.) -- West (U.S.) -- West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/8627,record,url,eng,,,
10188,https://catalog.sage.eou.edu/eg/opac/record/10188,"Prospector, cowhand, and sodbuster : historic places associated with the mining, ranching, and farming frontiers in the trans-Mississippi West",United States National Park Service.,,,1967,,Historic buildings -- Frontier and pioneer life;Historic buildings West (U.S.) Frontier and pioneer life West (U.S.);West (U.S.) -- West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/10188,record,url,eng,,,
10465,https://catalog.sage.eou.edu/eg/opac/record/10465,Ancient man in North America,"Wormington, H. M. (Hannah Marie) 1914-1994",,,1957,,North America -- North America;Paleo-Indians -- Antiquities;Paleo-Indians North America North America Antiquities,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/10465,record,url,eng,,,
11174,https://catalog.sage.eou.edu/eg/opac/record/11174,Among the Mormons : historic accounts by contemporary observers,"Mulder, William",,,1958,,Mormons -- History;Mormons History Sources,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/11174,record,url,eng,,,
11300,https://catalog.sage.eou.edu/eg/opac/record/11300,"Indian treaties, 1778-1883",United States,,,1972,,"Indians of North America -- Legal status, laws, etc -- Indians of North America;Indians of North America Legal status, laws, etc Indians of North America Treaties",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/11300,record,url,eng,,,{0879890258}
11627,https://catalog.sage.eou.edu/eg/opac/record/11627,Strange lands and friendly people,"Douglas, William O. (William Orville) 1898-1980",,,1951,,Description and travel -- Description and travel;Middle East -- India;Middle East Description and travel India Description and travel,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/11627,record,url,eng,,,
11917,https://catalog.sage.eou.edu/eg/opac/record/11917,Dynamite : the story of class violence in America,"Adamic, Louis 1899-1951",,,1934,,Labor unions -- History -- Working class -- History -- Strikes and lockouts -- History -- Social conditions;Labor unions United States History Working class United States History Strikes and lockouts United States History United States Social conditions;United States -- United States -- United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/11917,record,url,eng,,,
12193,https://catalog.sage.eou.edu/eg/opac/record/12193,Beyond the high Himalayas,"Douglas, William O. (William Orville) 1898-1980",,,1952,,Description and travel;Himalaya Mountains;Himalaya Mountains Description and travel,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12193,record,url,eng,,,
12474,https://catalog.sage.eou.edu/eg/opac/record/12474,"Cycles of conquest : the impact of Spain, Mexico, and the United States on the Indians of the Southwest, 1533-1960","Spicer, Edward Holland 1906-1983",,,1962,,"Indians of North America -- Indians of North America -- Cultural assimilation -- History;Indians of North America Southwest, New Indians of North America Cultural assimilation Southwest, New History;Southwest, New -- Southwest, New",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12474,record,url,eng,,,
12479,https://catalog.sage.eou.edu/eg/opac/record/12479,Prehistoric man in the New World,Rice University,,,1964,,America -- America;Indians -- Antiquities -- Prehistoric peoples -- Antiquities;Indians Antiquities Prehistoric peoples America America Antiquities,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12479,record,url,eng,,,
12556,https://catalog.sage.eou.edu/eg/opac/record/12556,Indians and other Americans : two ways of life meet,"Fey, Harold E. (Harold Edward) 1898-1990",,,1959,,Indians of North America -- Government relations;Indians of North America Government relations,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12556,record,url,eng,,,
12567,https://catalog.sage.eou.edu/eg/opac/record/12567,Indians of the United States,"Wissler, Clark 1870-1947",,,1966,,Indians of North America -- History -- Indians of North America -- Social life and customs;Indians of North America History Indians of North America Social life and customs,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12567,record,url,eng,,,
12577,https://catalog.sage.eou.edu/eg/opac/record/12577,"""I will fight no more forever"" : Chief Joseph and the Nez Perce War","Beal, Merrill D. 1898-1990",,,1963,,"Joseph (Nez Percé chief) 1840-1904;Nez Percé Indians -- Wars, 1877;Nez Percé Indians Wars, 1877 Joseph (Nez Percé chief) 1840-1904",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12577,record,url,eng,,,
12603,https://catalog.sage.eou.edu/eg/opac/record/12603,An American primer,"Boorstin, Daniel J. (Daniel Joseph) 1914-2004",,,1966,,History;United States;United States History Sources,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12603,record,url,eng,,,
12622,https://catalog.sage.eou.edu/eg/opac/record/12622,American intellectual histories and historians,"Skotheim, Robert Allen",,,1966,,Historians -- Historiography -- History -- History;Historians United States United States Historiography United States History History;United States -- United States -- United States,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12622,record,url,eng,,,
12624,https://catalog.sage.eou.edu/eg/opac/record/12624,Dictionary of the American Indian,"Stoutenburgh, John 1921-",,,1960,,Indians of North America;Indians of North America Dictionaries,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12624,record,url,eng,,,
12682,https://catalog.sage.eou.edu/eg/opac/record/12682,America's frontier heritage,"Billington, Ray Allen 1903-1981",,,1966,,"Frontier and pioneer life -- National characteristics, American;Frontier and pioneer life United States National characteristics, American;United States",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12682,record,url,eng,,,
12683,https://catalog.sage.eou.edu/eg/opac/record/12683,"The rise of the West, 1754-1830","Philbrick, Francis S. (Francis Samuel) 1876-1970",,,1965,,"History -- History -- Territorial expansion;Northwest, Old -- Southwest, Old -- United States;Northwest, Old History Southwest, Old History United States Territorial expansion",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12683,record,url,eng,,,
12799,https://catalog.sage.eou.edu/eg/opac/record/12799,The age of Jackson,"Schlesinger, Arthur M., (Arthur Meier) Jr 1917-2007",,,1945,,"1829-1837;Jackson, Andrew 1767-1845;Jackson, Andrew 1767-1845 United States Politics and government 1829-1837;Politics and government;United States",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12799,record,url,eng,,,
12965,https://catalog.sage.eou.edu/eg/opac/record/12965,Bankers and cattlemen,"Gressley, Gene M. 1931-",,,1966,,Cattle trade;Cattle trade West (U.S.);West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/12965,record,url,eng,,,
13040,https://catalog.sage.eou.edu/eg/opac/record/13040,On the cattle ranges of the Oregon country,"Oliphant, J. Orin (James Orin) 1894-1979",,,1968,,"Cattle trade -- Range policy -- Indians of North America -- Government relations;Cattle trade Northwest, Pacific Range policy West (U.S.) Indians of North America Government relations;Northwest, Pacific -- West (U.S.)",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13040,record,url,eng,,,
13395,https://catalog.sage.eou.edu/eg/opac/record/13395,The American heritage history of the making of the Nation,"Russell, Francis 1910-1989",,,1968,,1783-1865;History;United States;United States History 1783-1865,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13395,record,url,eng,,,
13737,https://catalog.sage.eou.edu/eg/opac/record/13737,Jim Bridger,"Alter, J. Cecil 1879-1964",,,1962,,"Bridger, Jim 1804-1881;Trappers -- Scouts (Reconnaissance) -- Frontier and pioneer life;Trappers West (U.S.) Biography Scouts (Reconnaissance) West (U.S.) Biography Bridger, Jim 1804-1881 Frontier and pioneer life West (U.S.);West (U.S.) -- West (U.S.) -- West (U.S.)",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13737,record,url,eng,,,
13744,https://catalog.sage.eou.edu/eg/opac/record/13744,Heroes without glory : some goodmen of the old West,"Schaefer, Jack 1907-1991",,,1965,,West (U.S.);West (U.S.) Biography,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13744,record,url,eng,,,
13766,https://catalog.sage.eou.edu/eg/opac/record/13766,Exploration and empire : the explorer and the scientist in the winning of the American West,"Goetzmann, William H.",,,1966,,Discovery and exploration;West (U.S.);n-usp-- West (U.S.) Discovery and exploration,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13766,record,url,eng,,,
13768,https://catalog.sage.eou.edu/eg/opac/record/13768,The Great American Desert then and now,"Hollon, W. Eugene (William Eugene) 1913-2002",,,1966,,History -- Deserts -- Description and travel;West (U.S.) -- West (U.S.) -- West (U.S.);West (U.S.) History Deserts West (U.S.) West (U.S.) Description and travel,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13768,record,url,eng,,,
13782,https://catalog.sage.eou.edu/eg/opac/record/13782,Goodbye to a river : a narrative,"Graves, John 1920-2013",,,1960,,Brazos River Valley (Tex.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13782,record,url,eng,,,
13802,https://catalog.sage.eou.edu/eg/opac/record/13802,Rocky Mountain mining camps : the urban frontier,"Smith, Duane A.",,,1967,,1890-1945;History -- Frontier and pioneer life;West (U.S.) -- West (U.S.);West (U.S.) History 1890-1945 Frontier and pioneer life West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13802,record,url,eng,,,
13866,https://catalog.sage.eou.edu/eg/opac/record/13866,"The Pacific slope : a history of California, Oregon, Washington, Idaho, Utah, and Nevada","Pomeroy, Earl S. (Earl Spencer) 1915-2005",,,1965,,"History -- History;Northwest, Pacific -- Southwest, New;Northwest, Pacific History Southwest, New History",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13866,record,url,eng,,,
13868,https://catalog.sage.eou.edu/eg/opac/record/13868,The Overland Trail,"Monaghan, Jay 1891-1980",,,1947,,History -- Overland journeys to the Pacific;West (U.S.);West (U.S.) History Overland journeys to the Pacific,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13868,record,url,eng,,,
13888,https://catalog.sage.eou.edu/eg/opac/record/13888,Ordeal by hunger : the story of the Donner Party  George Rippey Stewart,"Stewart, George R. 1895-1980",,,1960,,Donner Party,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13888,record,url,eng,,,
13913,https://catalog.sage.eou.edu/eg/opac/record/13913,The American West : painters from Catlin to Russell,"Curry, Larry",,,1972,,"19th century;Painting, American -- Painting, American;Painting, American Exhibitions Painting, American 19th century West (U.S.) In art;West (U.S.)",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13913,record,url,eng,,,{0670127177}
13942,https://catalog.sage.eou.edu/eg/opac/record/13942,Indian art in America : the arts and crafts of the North American Indian,"Dockstader, Frederick J.",,,1961,,Indian art -- Indians of North America -- Industries;Indian art North America Indians of North America Industries;North America,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13942,record,url,eng,,,
13967,https://catalog.sage.eou.edu/eg/opac/record/13967,"The Mormon conflict, 1850-1859","Furniss, Norman F.",,,1960,,Mormons -- Mormon Church;Mormons Utah Utah Expedition (1857-1858) Mormon Church Utah;Utah -- Utah;Utah Expedition (1857-1858),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/13967,record,url,eng,,,
14044,https://catalog.sage.eou.edu/eg/opac/record/14044,"Soldier and brave : Indian and military affairs in the trans-Mississippi West, including a guide to historic sites and landmarks",United States National Park Service.,,,1963,,History -- Indians of North America -- Wars -- Military bases -- Monuments;West (U.S.) -- West (U.S.) -- West (U.S.);West (U.S.) History Indians of North America Wars Military bases West (U.S.) Monuments West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/14044,record,url,eng,,,
14095,https://catalog.sage.eou.edu/eg/opac/record/14095,Van Loon's geography : the story of the world we live in,"Van Loon, Hendrik Willem 1882-1944",,,1932,,Geography,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/14095,record,url,eng,,,
14455,https://catalog.sage.eou.edu/eg/opac/record/14455,Little Annie Oakley & other rugged people,"Holbrook, Stewart H. 1893-1964",,,1948,,"Allen, Ethan 1738-1789;Buffalo Bill 1846-1917;Calamity Jane 1856-1903;Carson, Kit 1809-1868;James, Jesse 1847-1882;Oakley, Annie 1860-1926;Oakley, Annie 1860-1926 Allen, Ethan 1738-1789 Calamity Jane 1856-1903 Buffalo Bill 1846-1917 Carson, Kit 1809-1868 James, Jesse 1847-1882 Standish, Burt L 1866-1945;Oakley, Annie 1860-1926 Allen, Ethan 1738-1789 Calamity Jane 1856-1903 Buffalo Bill 1846-1917 Carson, Kit 1809-1868 James, Jesse 1847-1882 Standish, Burt L 1866-1945 Wild West in America Wild west shows History United States Biography;Standish, Burt L 1866-1945;United States;Wild West in America -- Wild west shows -- History",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/14455,record,url,eng,,,
14577,https://catalog.sage.eou.edu/eg/opac/record/14577,The cattle kings,"Atherton, Lewis E. 1905-1989",,,1961,,Cattle trade -- Cattle breeders -- Ranch life;Cattle trade West (U.S.) Cattle breeders West (U.S.) Biography Ranch life West (U.S.) West (U.S.) Biography;West (U.S.) -- West (U.S.) -- West (U.S.) -- West (U.S.),,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/14577,record,url,eng,,,
14948,https://catalog.sage.eou.edu/eg/opac/record/14948,George Catlin and the old frontier,"McCracken, Harold 1894-1983",,,1959,,"Artists -- Indians of North America -- Frontier and pioneer life;Catlin, George 1796-1872;Catlin, George 1796-1872 Artists United States Biography Indians of North America West (U.S.) Pictorial works Frontier and pioneer life West (U.S.) Pictorial works;United States -- West (U.S.) -- West (U.S.)",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/14948,record,url,eng,,,
15570,https://catalog.sage.eou.edu/eg/opac/record/15570,The Horizon book of ancient Greece,"Hale, William Harlan 1910-1974",,,1965,,Civilization -- Antiquities;Greece -- Greece;Greece Civilization To 146 B.C Greece Antiquities;To 146 B.C,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/15570,record,url,eng,,,
15867,https://catalog.sage.eou.edu/eg/opac/record/15867,Ethnographic bibliography of North America,"Murdock, George Peter 1897-1985",,,1960,,Ethnology -- Indians of North America;Ethnology North America Bibliography Indians of North America Bibliography;North America,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/15867,record,url,eng,,,
16106,https://catalog.sage.eou.edu/eg/opac/record/16106,Stern-wheelers up Columbia : a century of steamboating in the Oregon country,"Mills, Randall Vause 1907-1952",,,1947,,Columbia River;Steam-navigation -- Steamboats;Steam-navigation Columbia River Steamboats,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/16106,record,url,eng,,,
16341,https://catalog.sage.eou.edu/eg/opac/record/16341,"Man, time, and fossils : the story of evolution","Moore, Ruth E. 1908-1989",,,1961,,Human evolution -- Fossil hominids -- Human beings -- Origin;Human evolution Fossil hominids Human beings Origin,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/16341,record,url,eng,,,
16930,https://catalog.sage.eou.edu/eg/opac/record/16930,Utah's heritage,"Ellsworth, S. George (Samuel George) 1916-1997",,,1972,,History;Utah;Utah History Juvenile literature,,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/16930,record,url,eng,,,{0879050063}
16995,https://catalog.sage.eou.edu/eg/opac/record/16995,Editor to author : the letters of Maxwell E. Perkins,"Perkins, Maxwell E. (Maxwell Evarts) 1884-1947",,,1950,,"Charles Scribner's Sons;Editors;Perkins, Maxwell E. (Maxwell Evarts) 1884-1947;Perkins, Maxwell E. (Maxwell Evarts) 1884-1947 Charles Scribner's Sons;Perkins, Maxwell E. (Maxwell Evarts) 1884-1947 Charles Scribner's Sons Editors United States Correspondence;United States",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/16995,record,url,eng,,,
17107,https://catalog.sage.eou.edu/eg/opac/record/17107,Quantrill and the border wars,"Connelley, William Elsey 1855-1930",,,1956,,"Civil War, 1861-1865 -- 1854-1861;Guerrillas -- History -- History;Missouri -- Kansas;Quantrill, William Clarke 1837-1865;Quantrill, William Clarke 1837-1865 Guerrillas Missouri History Civil War, 1861-1865 Kansas History 1854-1861",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/17107,record,url,eng,,,
17928,https://catalog.sage.eou.edu/eg/opac/record/17928,"A webfoot volunteer : the diary of William M. Hilleary, 1864-1866","Hilleary, William M. 1840-approximately 1917",,,1965,,"Hilleary, William M 1840-approximately 1917",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/17928,record,url,eng,,,
17975,https://catalog.sage.eou.edu/eg/opac/record/17975,Will Rogers : his life and times,"Ketchum, Richard M. 1922-2012",,,1973,,"Rogers, Will 1879-1935",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/17975,record,url,eng,,,"{""0070344124 (deluxe)"",0070344116}"
17986,https://catalog.sage.eou.edu/eg/opac/record/17986,"The authentic life of Billy, the Kid : the noted desperado of the Southwest, whose deeds of daring and blood made his name a terror in New Mexico, Arizona and northern Mexico","Garrett, Pat F. (Pat Floyd) 1850-1908",,,1954,,"Billy the Kid;Billy the Kid Criminals Southwest, New;Criminals;Southwest, New",,,,,Josephy Library Catalog Records,https://catalog.sage.eou.edu/eg/opac/record/17986,record,url,eng,,,
